userId,courseId,chapters_completed,percentage_completed,updated_year,updated_month,updated_day
1,1,0,0.0,2020,4,18
1,2,0,0.0,2020,9,12
1,3,0,0.0,2024,5,10
1,4,0,0.0,2021,10,7
1,5,0,0.0,2021,2,24
1,6,0,0.0,2024,1,4
1,7,0,0.0,2022,8,24
1,8,0,0.0,2024,9,26
1,9,0,0.0,2020,3,16
1,10,0,0.0,2024,7,10
1,11,0,0.0,2022,11,27
1,12,0,0.0,2021,12,8
1,13,0,0.0,2020,7,2
1,14,0,0.0,2022,4,14
1,15,0,0.0,2021,12,18
1,16,0,0.0,2020,5,27
1,17,0,0.0,2020,3,6
1,18,0,0.0,2024,4,24
1,19,0,0.0,2022,10,1
1,20,0,0.0,2021,11,2
1,21,0,0.0,2021,3,21
1,22,0,0.0,2022,7,28
1,23,0,0.0,2023,9,16
1,24,0,0.0,2023,7,12
1,25,0,0.0,2023,1,23
1,26,0,0.0,2023,11,23
1,27,0,0.0,2021,1,11
1,28,0,0.0,2024,1,2
1,29,0,0.0,2022,8,13
1,30,0,0.0,2021,2,13
2,1,0,0.0,2020,4,18
2,2,0,0.0,2020,9,12
2,3,0,0.0,2024,5,10
2,4,0,0.0,2021,10,7
2,5,0,0.0,2021,2,24
2,6,0,0.0,2024,1,4
2,7,0,0.0,2022,8,24
2,8,0,0.0,2024,9,26
2,9,0,0.0,2020,3,16
2,10,0,0.0,2024,7,10
2,11,0,0.0,2022,11,27
2,12,0,0.0,2021,12,8
2,13,0,0.0,2020,7,2
2,14,0,0.0,2022,4,14
2,15,0,0.0,2021,12,18
2,16,0,0.0,2020,5,27
2,17,0,0.0,2020,3,6
2,18,0,0.0,2024,4,24
2,19,0,0.0,2022,10,1
2,20,0,0.0,2021,11,2
2,21,0,0.0,2021,3,21
2,22,0,0.0,2022,7,28
2,23,0,0.0,2023,9,16
2,24,0,0.0,2023,7,12
2,25,0,0.0,2023,1,23
2,26,0,0.0,2023,11,23
2,27,0,0.0,2021,1,11
2,28,0,0.0,2024,1,2
2,29,0,0.0,2022,8,13
2,30,0,0.0,2021,2,13
3,1,0,0.0,2020,4,18
3,2,0,0.0,2020,9,12
3,3,0,0.0,2024,5,10
3,4,0,0.0,2021,10,7
3,5,0,0.0,2021,2,24
3,6,0,0.0,2024,1,4
3,7,0,0.0,2022,8,24
3,8,0,0.0,2024,9,26
3,9,0,0.0,2020,3,16
3,10,0,0.0,2024,7,10
3,11,0,0.0,2022,11,27
3,12,0,0.0,2021,12,8
3,13,0,0.0,2020,7,2
3,14,0,0.0,2022,4,14
3,15,0,0.0,2021,12,18
3,16,0,0.0,2020,5,27
3,17,0,0.0,2020,3,6
3,18,0,0.0,2024,4,24
3,19,0,0.0,2022,10,1
3,20,0,0.0,2021,11,2
3,21,0,0.0,2021,3,21
3,22,0,0.0,2022,7,28
3,23,0,0.0,2023,9,16
3,24,0,0.0,2023,7,12
3,25,0,0.0,2023,1,23
3,26,0,0.0,2023,11,23
3,27,0,0.0,2021,1,11
3,28,0,0.0,2024,1,2
3,29,0,0.0,2022,8,13
3,30,0,0.0,2021,2,13
4,1,0,0.0,2020,4,18
4,2,0,0.0,2020,9,12
4,3,0,0.0,2024,5,10
4,4,0,0.0,2021,10,7
4,5,0,0.0,2021,2,24
4,6,0,0.0,2024,1,4
4,7,0,0.0,2022,8,24
4,8,0,0.0,2024,9,26
4,9,0,0.0,2020,3,16
4,10,0,0.0,2024,7,10
4,11,0,0.0,2022,11,27
4,12,0,0.0,2021,12,8
4,13,0,0.0,2020,7,2
4,14,0,0.0,2022,4,14
4,15,0,0.0,2021,12,18
4,16,0,0.0,2020,5,27
4,17,0,0.0,2020,3,6
4,18,0,0.0,2024,4,24
4,19,0,0.0,2022,10,1
4,20,0,0.0,2021,11,2
4,21,0,0.0,2021,3,21
4,22,0,0.0,2022,7,28
4,23,0,0.0,2023,9,16
4,24,0,0.0,2023,7,12
4,25,0,0.0,2023,1,23
4,26,0,0.0,2023,11,23
4,27,0,0.0,2021,1,11
4,28,0,0.0,2024,1,2
4,29,0,0.0,2022,8,13
4,30,0,0.0,2021,2,13
5,1,0,0.0,2020,4,18
5,2,0,0.0,2020,9,12
5,3,0,0.0,2024,5,10
5,4,0,0.0,2021,10,7
5,5,0,0.0,2021,2,24
5,6,0,0.0,2024,1,4
5,7,0,0.0,2022,8,24
5,8,0,0.0,2024,9,26
5,9,0,0.0,2020,3,16
5,10,0,0.0,2024,7,10
5,11,0,0.0,2022,11,27
5,12,0,0.0,2021,12,8
5,13,0,0.0,2020,7,2
5,14,0,0.0,2022,4,14
5,15,0,0.0,2021,12,18
5,16,0,0.0,2020,5,27
5,17,0,0.0,2020,3,6
5,18,0,0.0,2024,4,24
5,19,0,0.0,2022,10,1
5,20,0,0.0,2021,11,2
5,21,0,0.0,2021,3,21
5,22,0,0.0,2022,7,28
5,23,0,0.0,2023,9,16
5,24,0,0.0,2023,7,12
5,25,0,0.0,2023,1,23
5,26,0,0.0,2023,11,23
5,27,0,0.0,2021,1,11
5,28,0,0.0,2024,1,2
5,29,0,0.0,2022,8,13
5,30,0,0.0,2021,2,13
6,1,0,0.0,2020,4,18
6,2,0,0.0,2020,9,12
6,3,0,0.0,2024,5,10
6,4,0,0.0,2021,10,7
6,5,0,0.0,2021,2,24
6,6,0,0.0,2024,1,4
6,7,0,0.0,2022,8,24
6,8,0,0.0,2024,9,26
6,9,0,0.0,2020,3,16
6,10,0,0.0,2024,7,10
6,11,0,0.0,2022,11,27
6,12,0,0.0,2021,12,8
6,13,0,0.0,2020,7,2
6,14,0,0.0,2022,4,14
6,15,0,0.0,2021,12,18
6,16,0,0.0,2020,5,27
6,17,0,0.0,2020,3,6
6,18,0,0.0,2024,4,24
6,19,0,0.0,2022,10,1
6,20,0,0.0,2021,11,2
6,21,0,0.0,2021,3,21
6,22,0,0.0,2022,7,28
6,23,0,0.0,2023,9,16
6,24,0,0.0,2023,7,12
6,25,0,0.0,2023,1,23
6,26,0,0.0,2023,11,23
